City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mount isa,-20.7333,139.5,12.87,41,4,2.57,AU,1692377909
83,namtsy,62.7161,129.6658,14.47,93,34,2.36,RU,1692377910
84,shingu,33.7333,135.9833,25.25,92,48,1.52,JP,1692377910
85,udachny,66.4167,112.4,11.34,59,10,6.95,RU,1692377911
86,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,1.0,RU,1692377911
87,punta arenas,-53.15,-70.9167,3.06,93,100,6.17,CL,1692377912
88,east london,-33.0153,27.9116,16.88,62,3,9.53,ZA,1692377912
89,gasteiz / vitoria,42.85,-2.6667,35.5,23,0,4.63,ES,1692377913
90,baymak,52.5933,58.3225,21.68,50,66,1.61,RU,1692377913
91,palu,-0.8917,119.8707,24.37,96,100,0.91,ID,1692377914
92,mermoz boabab,14.7065,-17.4758,30.31,79,40,2.06,SN,1692377914
93,shelbyville,35.4834,-86.4603,29.43,63,42,1.79,US,1692377887
94,avarua,-21.2078,-159.775,23.03,94,75,2.57,CK,1692377915
95,toliara,-23.35,43.6667,21.16,83,42,3.01,MG,1692377916
96,ribeira grande,38.5167,-28.7,26.22,65,20,5.14,PT,1692377916
97,atar,20.5169,-13.0499,40.1,19,82,2.41,MR,1692377917
98,port mathurin,-19.6833,63.4167,22.97,75,5,7.11,MU,1692377917
99,severo-yeniseyskiy,60.3725,93.0408,10.53,83,100,1.62,RU,1692377918
100,howard springs,-12.497,131.047,23.79,89,25,1.85,AU,1692377918
101,lompoc,34.6391,-120.4579,22.74,76,40,1.34,US,1692377919
102,alenquer,-1.9417,-54.7383,36.71,33,11,2.77,BR,1692377919
103,daru,-9.0763,143.2092,24.49,69,100,4.62,PG,1692377920
104,invercargill,-46.4,168.35,4.45,93,91,1.34,NZ,1692377920
105,tiksi,71.6872,128.8694,3.23,95,94,2.93,RU,1692377921
106,iskateley,67.6803,53.1512,7.87,81,100,11.44,RU,1692377921
107,uturoa,-16.7333,-151.4333,25.23,71,15,10.08,PF,1692377922
108,concepcion,-36.827,-73.0498,11.89,66,75,4.12,CL,1692377922
109,kurumkan,54.3,110.3,11.54,95,100,3.17,RU,1692377923
110,cockburn town,21.4612,-71.1419,25.98,78,100,7.2,TC,1692377923
